month_start,month,year,quarter,month_name,period,month_index
2023-01-01,1,2023,Q1,Jan,2023-01,1
2023-02-01,2,2023,Q1,Feb,2023-02,2
2023-03-01,3,2023,Q1,Mar,2023-03,3
2023-04-01,4,2023,Q2,Apr,2023-04,4
2023-05-01,5,2023,Q2,May,2023-05,5
2023-06-01,6,2023,Q2,Jun,2023-06,6
2023-07-01,7,2023,Q3,Jul,2023-07,7
2023-08-01,8,2023,Q3,Aug,2023-08,8
2023-09-01,9,2023,Q3,Sep,2023-09,9
2023-10-01,10,2023,Q4,Oct,2023-10,10
2023-11-01,11,2023,Q4,Nov,2023-11,11
2023-12-01,12,2023,Q4,Dec,2023-12,12
2024-01-01,1,2024,Q1,Jan,2024-01,13
2024-02-01,2,2024,Q1,Feb,2024-02,14
2024-03-01,3,2024,Q1,Mar,2024-03,15
2024-04-01,4,2024,Q2,Apr,2024-04,16
2024-05-01,5,2024,Q2,May,2024-05,17
2024-06-01,6,2024,Q2,Jun,2024-06,18
2024-07-01,7,2024,Q3,Jul,2024-07,19
2024-08-01,8,2024,Q3,Aug,2024-08,20
2024-09-01,9,2024,Q3,Sep,2024-09,21
2024-10-01,10,2024,Q4,Oct,2024-10,22
2024-11-01,11,2024,Q4,Nov,2024-11,23
2024-12-01,12,2024,Q4,Dec,2024-12,24
2025-01-01,1,2025,Q1,Jan,2025-01,25
2025-02-01,2,2025,Q1,Feb,2025-02,26
2025-03-01,3,2025,Q1,Mar,2025-03,27
2025-04-01,4,2025,Q2,Apr,2025-04,28
2025-05-01,5,2025,Q2,May,2025-05,29
2025-06-01,6,2025,Q2,Jun,2025-06,30
2025-07-01,7,2025,Q3,Jul,2025-07,31
2025-08-01,8,2025,Q3,Aug,2025-08,32
2025-09-01,9,2025,Q3,Sep,2025-09,33
2025-10-01,10,2025,Q4,Oct,2025-10,34
2025-11-01,11,2025,Q4,Nov,2025-11,35
2025-12-01,12,2025,Q4,Dec,2025-12,36
