month_start,period,entity,region,forecast_revenue,forecast_gross_profit,forecast_total_opex,forecast_ebitda,assumed_revenue_growth,assumed_gp_growth,assumed_opex_growth,forecast_version
2026-01-01,2026-01,Canada,Central,3134852.29,1999996.38,478347.47,1521648.91,0.0363,0.0344,0.0022,Base Case
2026-02-01,2026-02,Canada,Central,3248560.2,2068757.4,479418.0,1589339.4,0.0363,0.0344,0.0022,Base Case
2026-03-01,2026-03,Canada,Central,3366392.55,2139882.47,480490.92,1659391.55,0.0363,0.0344,0.0022,Base Case
2026-04-01,2026-04,Canada,Central,3488498.92,2213452.86,481566.24,1731886.62,0.0363,0.0344,0.0022,Base Case
2026-05-01,2026-05,Canada,Central,3615034.37,2289552.64,482643.96,1806908.68,0.0363,0.0344,0.0022,Base Case
2026-06-01,2026-06,Canada,Central,3746159.52,2368268.78,483724.1,1884544.68,0.0363,0.0344,0.0022,Base Case
2026-07-01,2026-07,Canada,Central,3882040.88,2449691.22,484806.66,1964884.56,0.0363,0.0344,0.0022,Base Case
2026-08-01,2026-08,Canada,Central,4022850.94,2533913.01,485891.64,2048021.37,0.0363,0.0344,0.0022,Base Case
2026-09-01,2026-09,Canada,Central,4168768.49,2621030.4,486979.04,2134051.36,0.0363,0.0344,0.0022,Base Case
2026-10-01,2026-10,Canada,Central,4319978.79,2711142.93,488068.88,2223074.05,0.0363,0.0344,0.0022,Base Case
2026-11-01,2026-11,Canada,Central,4476673.82,2804353.59,489161.16,2315192.43,0.0363,0.0344,0.0022,Base Case
2026-12-01,2026-12,Canada,Central,4639052.51,2900768.87,490255.89,2410512.98,0.0363,0.0344,0.0022,Base Case
2026-01-01,2026-01,Canada,East,2876970.86,1839511.67,465919.86,1373591.81,0.027,0.0281,0.0155,Base Case
2026-02-01,2026-02,Canada,East,2954548.86,1891155.47,473126.57,1418028.9,0.027,0.0281,0.0155,Base Case
2026-03-01,2026-03,Canada,East,3034218.77,1944249.16,480444.75,1463804.41,0.027,0.0281,0.0155,Base Case
2026-04-01,2026-04,Canada,East,3116036.98,1998833.44,487876.13,1510957.31,0.027,0.0281,0.0155,Base Case
2026-05-01,2026-05,Canada,East,3200061.45,2054950.16,495422.46,1559527.7,0.027,0.0281,0.0155,Base Case
2026-06-01,2026-06,Canada,East,3286351.64,2112642.34,503085.51,1609556.83,0.027,0.0281,0.0155,Base Case
2026-07-01,2026-07,Canada,East,3374968.67,2171954.21,510867.09,1661087.12,0.027,0.0281,0.0155,Base Case
