month_start,period,entity,region,department,actual_ending_headcount,actual_payroll_cost,budget_ending_headcount,budget_payroll_cost,headcount_variance,payroll_variance
2023-01-01,2023-01,Canada,Central,G&A,5,39439.32,5.21,39929.93,-0.21,-490.61
2023-01-01,2023-01,Canada,Central,Marketing,7,53363.47,7.31,52908.32,-0.31,455.15
2023-01-01,2023-01,Canada,Central,Operations,15,101756.26,15.84,102831.08,-0.84,-1074.82
2023-01-01,2023-01,Canada,Central,Sales,12,73199.96,11.4,72331.88,0.6,868.08
2023-01-01,2023-01,Canada,Central,Technology,10,80949.69,10.38,81751.14,-0.38,-801.45
2023-01-01,2023-01,Canada,East,G&A,5,33423.86,5.07,33041.11,-0.07,382.75
2023-01-01,2023-01,Canada,East,Marketing,7,48618.4,7.01,50761.47,-0.01,-2143.07
2023-01-01,2023-01,Canada,East,Operations,15,132549.27,15.31,126829.58,-0.31,5719.69
2023-01-01,2023-01,Canada,East,Sales,12,84424.43,12.74,85122.62,-0.74,-698.19
2023-01-01,2023-01,Canada,East,Technology,10,94277.82,9.68,97948.25,0.32,-3670.43
2023-01-01,2023-01,Canada,International,G&A,4,29310.76,3.99,29219.23,0.01,91.53
2023-01-01,2023-01,Canada,International,Marketing,6,46252.08,6.12,48292.24,-0.12,-2040.16
2023-01-01,2023-01,Canada,International,Operations,13,103016.01,13.1,111949.23,-0.1,-8933.22
2023-01-01,2023-01,Canada,International,Sales,9,69959.32,10.02,72471.89,-1.02,-2512.57
2023-01-01,2023-01,Canada,International,Technology,8,55846.94,8.08,55388.86,-0.08,458.08
2023-01-01,2023-01,Canada,West,G&A,6,43796.53,6.22,44534.24,-0.22,-737.71
2023-01-01,2023-01,Canada,West,Marketing,8,55009.76,8.6,56203.6,-0.6,-1193.84
2023-01-01,2023-01,Canada,West,Operations,19,137472.19,20.3,148453.98,-1.3,-10981.79
2023-01-01,2023-01,Canada,West,Sales,13,103887.39,13.13,110305.52,-0.13,-6418.13
2023-01-01,2023-01,Canada,West,Technology,11,71092.37,11.06,75435.45,-0.06,-4343.08
2023-01-01,2023-01,UK,Central,G&A,4,31643.04,4.33,32124.55,-0.33,-481.51
2023-01-01,2023-01,UK,Central,Marketing,6,47425.32,6.53,45863.24,-0.53,1562.08
2023-01-01,2023-01,UK,Central,Operations,14,114346.52,14.18,115543.13,-0.18,-1196.61
2023-01-01,2023-01,UK,Central,Sales,11,73750.17,10.81,78748.04,0.19,-4997.87
2023-01-01,2023-01,UK,Central,Technology,8,61403.54,8.28,64929.74,-0.28,-3526.2
2023-01-01,2023-01,UK,East,G&A,4,34812.34,4.37,33689.31,-0.37,1123.03
2023-01-01,2023-01,UK,East,Marketing,6,40926.96,6.4,43251.66,-0.4,-2324.7
2023-01-01,2023-01,UK,East,Operations,12,100237.71,12.87,93356.92,-0.87,6880.79
2023-01-01,2023-01,UK,East,Sales,9,69534.36,9.26,70463.95,-0.26,-929.59
2023-01-01,2023-01,UK,East,Technology,8,62689.65,8.57,63060.54,-0.57,-370.89
2023-01-01,2023-01,UK,International,G&A,3,19147.48,2.97,18701.02,0.03,446.46
2023-01-01,2023-01,UK,International,Marketing,5,33698.53,5.34,33701.67,-0.34,-3.14
2023-01-01,2023-01,UK,International,Operations,11,81586.68,11.07,86147.37,-0.07,-4560.69
2023-01-01,2023-01,UK,International,Sales,8,47604.29,8.25,49689.09,-0.25,-2084.8
2023-01-01,2023-01,UK,International,Technology,7,47966.71,7.32,52792.03,-0.32,-4825.32
2023-01-01,2023-01,UK,West,G&A,5,27867.32,5.09,28677.52,-0.09,-810.2
2023-01-01,2023-01,UK,West,Marketing,6,46444.93,6.16,46837.68,-0.16,-392.75
2023-01-01,2023-01,UK,West,Operations,16,101271.53,16.14,100859.91,-0.14,411.62
2023-01-01,2023-01,UK,West,Sales,12,89101.6,12.22,94096.25,-0.22,-4994.65
2023-01-01,2023-01,UK,West,Technology,10,94292.36,10.45,100452.62,-0.45,-6160.26
2023-01-01,2023-01,USA,Central,G&A,7,49417.67,7.11,51697.4,-0.11,-2279.73
2023-01-01,2023-01,USA,Central,Marketing,9,73889.35,9.45,76579.5,-0.45,-2690.15
2023-01-01,2023-01,USA,Central,Operations,21,146232.76,21.16,147071.69,-0.16,-838.93
2023-01-01,2023-01,USA,Central,Sales,16,108161.61,16.09,111462.27,-0.09,-3300.66
2023-01-01,2023-01,USA,Central,Technology,13,82636.43,13.81,84201.31,-0.81,-1564.88
2023-01-01,2023-01,USA,East,G&A,6,40605.73,6.1,40116.89,-0.1,488.84
2023-01-01,2023-01,USA,East,Marketing,9,65218.91,9.27,66654.47,-0.27,-1435.56
2023-01-01,2023-01,USA,East,Operations,21,163724.62,22.78,164028.13,-1.78,-303.51
2023-01-01,2023-01,USA,East,Sales,16,136314.89,16.22,145467.67,-0.22,-9152.78
2023-01-01,2023-01,USA,East,Technology,13,110153.63,12.84,119658.04,0.16,-9504.41
2023-01-01,2023-01,USA,International,G&A,5,33602.85,5.23,34909.61,-0.23,-1306.76
2023-01-01,2023-01,USA,International,Marketing,7,49806.26,7.21,51787.14,-0.21,-1980.88
2023-01-01,2023-01,USA,International,Operations,17,102256.48,17.31,101976.92,-0.31,279.56
2023-01-01,2023-01,USA,International,Sales,13,79805.74,12.96,85371.12,0.04,-5565.38
2023-01-01,2023-01,USA,International,Technology,12,64584.8,12.6,68330.1,-0.6,-3745.3
2023-01-01,2023-01,USA,West,G&A,8,46670.77,8.89,49366.92,-0.89,-2696.15
2023-01-01,2023-01,USA,West,Marketing,11,91631.21,11.44,95318.19,-0.44,-3686.98
2023-01-01,2023-01,USA,West,Operations,25,203232.13,25.7,210714.87,-0.7,-7482.74
2023-01-01,2023-01,USA,West,Sales,18,113806.87,18.63,121299.54,-0.63,-7492.67
2023-01-01,2023-01,USA,West,Technology,16,125857.13,16.73,130516.39,-0.73,-4659.26
2023-02-01,2023-02,Canada,Central,G&A,5,30785.43,4.93,32695.67,0.07,-1910.24
2023-02-01,2023-02,Canada,Central,Marketing,7,60039.3,7.56,62499.47,-0.56,-2460.17
2023-02-01,2023-02,Canada,Central,Operations,16,99632.03,16.64,109708.74,-0.64,-10076.71
2023-02-01,2023-02,Canada,Central,Sales,12,94876.8,12.5,96235.62,-0.5,-1358.82
2023-02-01,2023-02,Canada,Central,Technology,10,69263.41,10.27,67747.83,-0.27,1515.58
2023-02-01,2023-02,Canada,East,G&A,5,26609.18,5.28,26233.73,-0.28,375.45
2023-02-01,2023-02,Canada,East,Marketing,7,47149.03,7.03,50061.77,-0.03,-2912.74
2023-02-01,2023-02,Canada,East,Operations,16,115447.96,16.5,117153.43,-0.5,-1705.47
2023-02-01,2023-02,Canada,East,Sales,11,79390.67,11.38,75665.45,-0.38,3725.22
2023-02-01,2023-02,Canada,East,Technology,9,64368.81,8.72,66327.69,0.28,-1958.88
2023-02-01,2023-02,Canada,International,G&A,4,29047.77,4.0,31348.43,0.0,-2300.66
2023-02-01,2023-02,Canada,International,Marketing,5,32344.28,4.93,31931.47,0.07,412.81
2023-02-01,2023-02,Canada,International,Operations,14,115182.33,15.35,115063.16,-1.35,119.17
2023-02-01,2023-02,Canada,International,Sales,10,79172.42,10.1,81720.53,-0.1,-2548.11
2023-02-01,2023-02,Canada,International,Technology,8,55650.34,8.7,57941.66,-0.7,-2291.32
2023-02-01,2023-02,Canada,West,G&A,6,51088.42,5.97,52472.76,0.03,-1384.34
2023-02-01,2023-02,Canada,West,Marketing,8,56810.49,8.26,59082.26,-0.26,-2271.77
2023-02-01,2023-02,Canada,West,Operations,19,116078.76,19.29,122618.47,-0.29,-6539.71
2023-02-01,2023-02,Canada,West,Sales,14,128787.16,14.79,132725.77,-0.79,-3938.61
2023-02-01,2023-02,Canada,West,Technology,11,77416.66,11.35,81196.4,-0.35,-3779.74
2023-02-01,2023-02,UK,Central,G&A,5,36904.71,4.96,39506.79,0.04,-2602.08
2023-02-01,2023-02,UK,Central,Marketing,6,38601.4,6.39,38235.87,-0.39,365.53
2023-02-01,2023-02,UK,Central,Operations,13,125812.79,13.54,125961.1,-0.54,-148.31
2023-02-01,2023-02,UK,Central,Sales,10,73446.24,10.77,76565.84,-0.77,-3119.6
2023-02-01,2023-02,UK,Central,Technology,8,61226.18,8.01,61556.1,-0.01,-329.92
2023-02-01,2023-02,UK,East,G&A,4,35646.36,4.23,37153.33,-0.23,-1506.97
2023-02-01,2023-02,UK,East,Marketing,6,40303.73,5.91,41160.26,0.09,-856.53
2023-02-01,2023-02,UK,East,Operations,13,86846.51,13.31,88519.92,-0.31,-1673.41
2023-02-01,2023-02,UK,East,Sales,10,78620.1,9.69,81717.58,0.31,-3097.48
2023-02-01,2023-02,UK,East,Technology,8,56396.62,8.14,58942.34,-0.14,-2545.72
2023-02-01,2023-02,UK,International,G&A,3,25044.58,2.94,24943.92,0.06,100.66
2023-02-01,2023-02,UK,International,Marketing,5,36802.08,5.08,37149.3,-0.08,-347.22
2023-02-01,2023-02,UK,International,Operations,12,81334.04,12.65,84766.35,-0.65,-3432.31
2023-02-01,2023-02,UK,International,Sales,8,46741.18,8.19,50736.87,-0.19,-3995.69
2023-02-01,2023-02,UK,International,Technology,7,54125.12,6.95,55893.37,0.05,-1768.25
2023-02-01,2023-02,UK,West,G&A,5,32082.11,5.2,33362.69,-0.2,-1280.58
2023-02-01,2023-02,UK,West,Marketing,6,41203.53,6.03,42401.47,-0.03,-1197.94
2023-02-01,2023-02,UK,West,Operations,17,129376.32,18.01,130428.61,-1.01,-1052.29
2023-02-01,2023-02,UK,West,Sales,12,80927.59,12.44,80633.85,-0.44,293.74
2023-02-01,2023-02,UK,West,Technology,9,56317.81,9.29,59378.11,-0.29,-3060.3
2023-02-01,2023-02,USA,Central,G&A,6,45942.84,6.0,48618.53,0.0,-2675.69
2023-02-01,2023-02,USA,Central,Marketing,10,65033.77,9.95,66018.6,0.05,-984.83
2023-02-01,2023-02,USA,Central,Operations,20,157781.58,19.58,155644.17,0.42,2137.41
2023-02-01,2023-02,USA,Central,Sales,17,144304.03,17.19,151064.06,-0.19,-6760.03
2023-02-01,2023-02,USA,Central,Technology,14,97470.96,14.44,92782.9,-0.44,4688.06
2023-02-01,2023-02,USA,East,G&A,6,38990.94,6.12,41889.56,-0.12,-2898.62
2023-02-01,2023-02,USA,East,Marketing,9,70572.56,9.24,71804.27,-0.24,-1231.71
2023-02-01,2023-02,USA,East,Operations,20,93893.11,20.31,92479.36,-0.31,1413.75
2023-02-01,2023-02,USA,East,Sales,15,92999.83,15.97,92480.32,-0.97,519.51
2023-02-01,2023-02,USA,East,Technology,13,99518.61,12.66,101371.76,0.34,-1853.15
2023-02-01,2023-02,USA,International,G&A,6,37581.48,6.21,38006.92,-0.21,-425.44
2023-02-01,2023-02,USA,International,Marketing,8,52660.36,8.05,55856.51,-0.05,-3196.15
2023-02-01,2023-02,USA,International,Operations,17,111053.96,17.05,108825.6,-0.05,2228.36
2023-02-01,2023-02,USA,International,Sales,13,107093.93,13.14,108491.58,-0.14,-1397.65
2023-02-01,2023-02,USA,International,Technology,11,71715.84,10.87,73821.31,0.13,-2105.47
2023-02-01,2023-02,USA,West,G&A,8,53384.8,8.45,57883.3,-0.45,-4498.5
2023-02-01,2023-02,USA,West,Marketing,11,88190.09,11.22,90856.36,-0.22,-2666.27
2023-02-01,2023-02,USA,West,Operations,25,178413.31,26.71,182938.59,-1.71,-4525.28
2023-02-01,2023-02,USA,West,Sales,20,139130.9,21.02,147891.75,-1.02,-8760.85
2023-02-01,2023-02,USA,West,Technology,15,131300.97,15.12,137880.59,-0.12,-6579.62
2023-03-01,2023-03,Canada,Central,G&A,5,25725.24,5.27,25671.43,-0.27,53.81
2023-03-01,2023-03,Canada,Central,Marketing,7,41014.24,6.66,42068.0,0.34,-1053.76
2023-03-01,2023-03,Canada,Central,Operations,16,78228.92,16.53,78528.51,-0.53,-299.59
2023-03-01,2023-03,Canada,Central,Sales,13,93350.06,12.93,95101.05,0.07,-1750.99
2023-03-01,2023-03,Canada,Central,Technology,10,71966.26,10.25,71660.76,-0.25,305.5
2023-03-01,2023-03,Canada,East,G&A,5,39426.44,5.46,41334.69,-0.46,-1908.25
2023-03-01,2023-03,Canada,East,Marketing,7,57593.95,7.3,59898.65,-0.3,-2304.7
2023-03-01,2023-03,Canada,East,Operations,15,119502.2,15.75,129122.68,-0.75,-9620.48
2023-03-01,2023-03,Canada,East,Sales,11,85274.01,11.48,89637.68,-0.48,-4363.67
2023-03-01,2023-03,Canada,East,Technology,10,79715.9,10.52,81535.76,-0.52,-1819.86
2023-03-01,2023-03,Canada,International,G&A,4,27885.04,4.21,28060.93,-0.21,-175.89
2023-03-01,2023-03,Canada,International,Marketing,6,43798.75,5.94,43558.12,0.06,240.63
2023-03-01,2023-03,Canada,International,Operations,14,90339.04,13.71,91862.76,0.29,-1523.72
