month_start,period,entity,region,department,actual_salary_opex,actual_non_salary_opex,actual_total_opex,budget_salary_opex,budget_non_salary_opex,budget_total_opex,salary_opex_variance,non_salary_opex_variance,total_opex_variance
2023-01-01,2023-01,Canada,Central,G&A,30113.81,21678.96,51792.77,31100.37,21998.59,51372.13,-986.56,-319.63,420.64
2023-01-01,2023-01,Canada,Central,Marketing,36146.03,23118.85,59264.88,38978.53,24197.29,63083.13,-2832.5,-1078.44,-3818.25
2023-01-01,2023-01,Canada,Central,Operations,81661.18,45884.32,127545.49,89001.44,46447.4,130450.15,-7340.26,-563.08,-2904.66
2023-01-01,2023-01,Canada,Central,Sales,58151.34,32726.04,90877.38,60136.34,35378.65,98098.73,-1985.0,-2652.61,-7221.35
2023-01-01,2023-01,Canada,Central,Technology,69662.25,36930.98,106593.23,74788.66,38701.86,112828.4,-5126.41,-1770.88,-6235.17
2023-01-01,2023-01,Canada,East,G&A,31635.03,17372.58,49007.6,34448.84,17917.0,54952.95,-2813.81,-544.42,-5945.35
2023-01-01,2023-01,Canada,East,Marketing,38316.97,22779.57,61096.54,39864.23,23655.1,62327.86,-1547.26,-875.53,-1231.32
2023-01-01,2023-01,Canada,East,Operations,74860.37,45076.98,119937.35,76687.89,46225.27,123301.18,-1827.52,-1148.29,-3363.83
2023-01-01,2023-01,Canada,East,Sales,52751.33,28114.55,80865.88,54217.08,29145.7,86266.34,-1465.75,-1031.15,-5400.46
2023-01-01,2023-01,Canada,East,Technology,66745.79,41705.28,108451.07,71046.8,43818.87,111253.91,-4301.01,-2113.59,-2802.84
2023-01-01,2023-01,Canada,International,G&A,24176.08,13967.46,38143.53,25703.62,15292.66,40806.12,-1527.54,-1325.2,-2662.59
2023-01-01,2023-01,Canada,International,Marketing,30460.12,18245.71,48705.83,31836.63,20008.35,49335.36,-1376.51,-1762.64,-629.53
2023-01-01,2023-01,Canada,International,Operations,62834.85,28308.58,91143.44,66002.48,28717.88,92845.66,-3167.63,-409.3,-1702.22
2023-01-01,2023-01,Canada,International,Sales,41038.96,27376.8,68415.76,43891.15,26441.21,72978.17,-2852.19,935.59,-4562.41
2023-01-01,2023-01,Canada,International,Technology,50028.23,37586.07,87614.31,53549.27,38866.04,91356.94,-3521.04,-1279.97,-3742.63
2023-01-01,2023-01,Canada,West,G&A,35107.3,24134.87,59242.18,35678.93,25456.95,61498.53,-571.63,-1322.08,-2256.35
2023-01-01,2023-01,Canada,West,Marketing,43274.28,33188.6,76462.88,47142.76,34770.64,81700.99,-3868.48,-1582.04,-5238.11
2023-01-01,2023-01,Canada,West,Operations,81321.98,51237.15,132559.13,86079.82,53779.98,143726.55,-4757.84,-2542.83,-11167.42
