month_start,period,entity,region,department,ending_headcount,avg_monthly_salary,payroll_cost,scenario
2023-01-01,2023-01,Canada,West,Sales,13,7991.34,103887.39,Actual
2023-01-01,2023-01,Canada,Central,Sales,12,6100.0,73199.96,Actual
2023-01-01,2023-01,Canada,East,Sales,12,7035.37,84424.43,Actual
2023-01-01,2023-01,Canada,International,Sales,9,7773.26,69959.32,Actual
2023-01-01,2023-01,Canada,West,Marketing,8,6876.22,55009.76,Actual
2023-01-01,2023-01,Canada,Central,Marketing,7,7623.35,53363.47,Actual
2023-01-01,2023-01,Canada,East,Marketing,7,6945.49,48618.4,Actual
2023-01-01,2023-01,Canada,International,Marketing,6,7708.68,46252.08,Actual
2023-01-01,2023-01,Canada,West,Operations,19,7235.38,137472.19,Actual
2023-01-01,2023-01,Canada,Central,Operations,15,6783.75,101756.26,Actual
2023-01-01,2023-01,Canada,East,Operations,15,8836.62,132549.27,Actual
2023-01-01,2023-01,Canada,International,Operations,13,7924.31,103016.01,Actual
2023-01-01,2023-01,Canada,West,G&A,6,7299.42,43796.53,Actual
2023-01-01,2023-01,Canada,Central,G&A,5,7887.86,39439.32,Actual
2023-01-01,2023-01,Canada,East,G&A,5,6684.77,33423.86,Actual
2023-01-01,2023-01,Canada,International,G&A,4,7327.69,29310.76,Actual
2023-01-01,2023-01,Canada,West,Technology,11,6462.94,71092.37,Actual
2023-01-01,2023-01,Canada,Central,Technology,10,8094.97,80949.69,Actual
2023-01-01,2023-01,Canada,East,Technology,10,9427.78,94277.82,Actual
2023-01-01,2023-01,Canada,International,Technology,8,6980.87,55846.94,Actual
2023-01-01,2023-01,USA,West,Sales,18,6322.6,113806.87,Actual
2023-01-01,2023-01,USA,Central,Sales,16,6760.1,108161.61,Actual
2023-01-01,2023-01,USA,East,Sales,16,8519.68,136314.89,Actual
2023-01-01,2023-01,USA,International,Sales,13,6138.9,79805.74,Actual
2023-01-01,2023-01,USA,West,Marketing,11,8330.11,91631.21,Actual
2023-01-01,2023-01,USA,Central,Marketing,9,8209.93,73889.35,Actual
2023-01-01,2023-01,USA,East,Marketing,9,7246.55,65218.91,Actual
2023-01-01,2023-01,USA,International,Marketing,7,7115.18,49806.26,Actual
2023-01-01,2023-01,USA,West,Operations,25,8129.29,203232.13,Actual
2023-01-01,2023-01,USA,Central,Operations,21,6963.46,146232.76,Actual
2023-01-01,2023-01,USA,East,Operations,21,7796.41,163724.62,Actual
2023-01-01,2023-01,USA,International,Operations,17,6015.09,102256.48,Actual
2023-01-01,2023-01,USA,West,G&A,8,5833.85,46670.77,Actual
2023-01-01,2023-01,USA,Central,G&A,7,7059.67,49417.67,Actual
2023-01-01,2023-01,USA,East,G&A,6,6767.62,40605.73,Actual
2023-01-01,2023-01,USA,International,G&A,5,6720.57,33602.85,Actual
2023-01-01,2023-01,USA,West,Technology,16,7866.07,125857.13,Actual
2023-01-01,2023-01,USA,Central,Technology,13,6356.65,82636.43,Actual
2023-01-01,2023-01,USA,East,Technology,13,8473.36,110153.63,Actual
2023-01-01,2023-01,USA,International,Technology,12,5382.07,64584.8,Actual
2023-01-01,2023-01,UK,West,Sales,12,7425.13,89101.6,Actual
2023-01-01,2023-01,UK,Central,Sales,11,6704.56,73750.17,Actual
2023-01-01,2023-01,UK,East,Sales,9,7726.04,69534.36,Actual
2023-01-01,2023-01,UK,International,Sales,8,5950.54,47604.29,Actual
2023-01-01,2023-01,UK,West,Marketing,6,7740.82,46444.93,Actual
2023-01-01,2023-01,UK,Central,Marketing,6,7904.22,47425.32,Actual
2023-01-01,2023-01,UK,East,Marketing,6,6821.16,40926.96,Actual
2023-01-01,2023-01,UK,International,Marketing,5,6739.71,33698.53,Actual
2023-01-01,2023-01,UK,West,Operations,16,6329.47,101271.53,Actual
2023-01-01,2023-01,UK,Central,Operations,14,8167.61,114346.52,Actual
2023-01-01,2023-01,UK,East,Operations,12,8353.14,100237.71,Actual
2023-01-01,2023-01,UK,International,Operations,11,7416.97,81586.68,Actual
2023-01-01,2023-01,UK,West,G&A,5,5573.46,27867.32,Actual
2023-01-01,2023-01,UK,Central,G&A,4,7910.76,31643.04,Actual
2023-01-01,2023-01,UK,East,G&A,4,8703.08,34812.34,Actual
2023-01-01,2023-01,UK,International,G&A,3,6382.49,19147.48,Actual
2023-01-01,2023-01,UK,West,Technology,10,9429.24,94292.36,Actual
2023-01-01,2023-01,UK,Central,Technology,8,7675.44,61403.54,Actual
2023-01-01,2023-01,UK,East,Technology,8,7836.21,62689.65,Actual
2023-01-01,2023-01,UK,International,Technology,7,6852.39,47966.71,Actual
2023-02-01,2023-02,Canada,West,Sales,14,9199.08,128787.16,Actual
