month_start,period,entity,region,department,ending_headcount,avg_monthly_salary,payroll_cost,scenario
2023-01-01,2023-01,Canada,West,Sales,13.13,8011.45,110305.52,Budget
2023-01-01,2023-01,Canada,Central,Sales,11.4,6160.64,72331.88,Budget
2023-01-01,2023-01,Canada,East,Sales,12.74,7534.48,85122.62,Budget
2023-01-01,2023-01,Canada,International,Sales,10.02,8327.62,72471.89,Budget
2023-01-01,2023-01,Canada,West,Marketing,8.6,6950.13,56203.6,Budget
2023-01-01,2023-01,Canada,Central,Marketing,7.31,7693.78,52908.32,Budget
2023-01-01,2023-01,Canada,East,Marketing,7.01,7112.87,50761.47,Budget
2023-01-01,2023-01,Canada,International,Marketing,6.12,7560.71,48292.24,Budget
2023-01-01,2023-01,Canada,West,Operations,20.3,7309.19,148453.98,Budget
2023-01-01,2023-01,Canada,Central,Operations,15.84,6772.73,102831.08,Budget
2023-01-01,2023-01,Canada,East,Operations,15.31,9052.6,126829.58,Budget
2023-01-01,2023-01,Canada,International,Operations,13.1,8030.42,111949.23,Budget
2023-01-01,2023-01,Canada,West,G&A,6.22,7343.65,44534.24,Budget
2023-01-01,2023-01,Canada,Central,G&A,5.21,8035.06,39929.93,Budget
2023-01-01,2023-01,Canada,East,G&A,5.07,6981.52,33041.11,Budget
2023-01-01,2023-01,Canada,International,G&A,3.99,7343.6,29219.23,Budget
2023-01-01,2023-01,Canada,West,Technology,11.06,6830.72,75435.45,Budget
2023-01-01,2023-01,Canada,Central,Technology,10.38,8389.99,81751.14,Budget
2023-01-01,2023-01,Canada,East,Technology,9.68,9751.3,97948.25,Budget
2023-01-01,2023-01,Canada,International,Technology,8.08,6964.94,55388.86,Budget
2023-01-01,2023-01,USA,West,Sales,18.63,6527.81,121299.54,Budget
2023-01-01,2023-01,USA,Central,Sales,16.09,6904.51,111462.27,Budget
2023-01-01,2023-01,USA,East,Sales,16.22,8989.71,145467.67,Budget
2023-01-01,2023-01,USA,International,Sales,12.96,6238.7,85371.12,Budget
2023-01-01,2023-01,USA,West,Marketing,11.44,8609.3,95318.19,Budget
2023-01-01,2023-01,USA,Central,Marketing,9.45,8552.08,76579.5,Budget
2023-01-01,2023-01,USA,East,Marketing,9.27,7757.05,66654.47,Budget
2023-01-01,2023-01,USA,International,Marketing,7.21,7659.92,51787.14,Budget
2023-01-01,2023-01,USA,West,Operations,25.7,8526.99,210714.87,Budget
2023-01-01,2023-01,USA,Central,Operations,21.16,7223.57,147071.69,Budget
2023-01-01,2023-01,USA,East,Operations,22.78,8086.15,164028.13,Budget
2023-01-01,2023-01,USA,International,Operations,17.31,6332.61,101976.92,Budget
2023-01-01,2023-01,USA,West,G&A,8.89,5754.17,49366.92,Budget
2023-01-01,2023-01,USA,Central,G&A,7.11,7100.15,51697.4,Budget
2023-01-01,2023-01,USA,East,G&A,6.1,7293.78,40116.89,Budget
2023-01-01,2023-01,USA,International,G&A,5.23,6866.7,34909.61,Budget
2023-01-01,2023-01,USA,West,Technology,16.73,7693.42,130516.39,Budget
2023-01-01,2023-01,USA,Central,Technology,13.81,6636.29,84201.31,Budget
2023-01-01,2023-01,USA,East,Technology,12.84,8856.68,119658.04,Budget
2023-01-01,2023-01,USA,International,Technology,12.6,5730.46,68330.1,Budget
2023-01-01,2023-01,UK,West,Sales,12.22,7668.04,94096.25,Budget
2023-01-01,2023-01,UK,Central,Sales,10.81,7036.79,78748.04,Budget
2023-01-01,2023-01,UK,East,Sales,9.26,8146.5,70463.95,Budget
2023-01-01,2023-01,UK,International,Sales,8.25,6080.3,49689.09,Budget
2023-01-01,2023-01,UK,West,Marketing,6.16,7583.79,46837.68,Budget
2023-01-01,2023-01,UK,Central,Marketing,6.53,8275.92,45863.24,Budget
2023-01-01,2023-01,UK,East,Marketing,6.4,6789.89,43251.66,Budget
2023-01-01,2023-01,UK,International,Marketing,5.34,6962.46,33701.67,Budget
2023-01-01,2023-01,UK,West,Operations,16.14,6638.84,100859.91,Budget
2023-01-01,2023-01,UK,Central,Operations,14.18,8538.31,115543.13,Budget
2023-01-01,2023-01,UK,East,Operations,12.87,8343.6,93356.92,Budget
2023-01-01,2023-01,UK,International,Operations,11.07,7708.48,86147.37,Budget
2023-01-01,2023-01,UK,West,G&A,5.09,5694.31,28677.52,Budget
2023-01-01,2023-01,UK,Central,G&A,4.33,8237.97,32124.55,Budget
2023-01-01,2023-01,UK,East,G&A,4.37,8967.1,33689.31,Budget
2023-01-01,2023-01,UK,International,G&A,2.97,6680.85,18701.02,Budget
2023-01-01,2023-01,UK,West,Technology,10.45,9491.48,100452.62,Budget
2023-01-01,2023-01,UK,Central,Technology,8.28,7528.76,64929.74,Budget
2023-01-01,2023-01,UK,East,Technology,8.57,7771.13,63060.54,Budget
2023-01-01,2023-01,UK,International,Technology,7.32,7198.1,52792.03,Budget
2023-02-01,2023-02,Canada,West,Sales,14.79,10137.6,132725.77,Budget
2023-02-01,2023-02,Canada,Central,Sales,12.5,8008.84,96235.62,Budget
2023-02-01,2023-02,Canada,East,Sales,11.38,7307.73,75665.45,Budget
2023-02-01,2023-02,Canada,International,Sales,10.1,8410.49,81720.53,Budget
2023-02-01,2023-02,Canada,West,Marketing,8.26,7151.71,59082.26,Budget
2023-02-01,2023-02,Canada,Central,Marketing,7.56,9194.77,62499.47,Budget
2023-02-01,2023-02,Canada,East,Marketing,7.03,7294.74,50061.77,Budget
2023-02-01,2023-02,Canada,International,Marketing,4.93,6321.99,31931.47,Budget
2023-02-01,2023-02,Canada,West,Operations,19.29,6457.97,122618.47,Budget
2023-02-01,2023-02,Canada,Central,Operations,16.64,6387.57,109708.74,Budget
2023-02-01,2023-02,Canada,East,Operations,16.5,7413.14,117153.43,Budget
2023-02-01,2023-02,Canada,International,Operations,15.35,8652.06,115063.16,Budget
2023-02-01,2023-02,Canada,West,G&A,5.97,8341.03,52472.76,Budget
2023-02-01,2023-02,Canada,Central,G&A,4.93,6126.13,32695.67,Budget
2023-02-01,2023-02,Canada,East,G&A,5.28,5719.61,26233.73,Budget
2023-02-01,2023-02,Canada,International,G&A,4.0,7342.86,31348.43,Budget
2023-02-01,2023-02,Canada,West,Technology,11.35,7633.71,81196.4,Budget
2023-02-01,2023-02,Canada,Central,Technology,10.27,7253.37,67747.83,Budget
2023-02-01,2023-02,Canada,East,Technology,8.72,7422.28,66327.69,Budget
2023-02-01,2023-02,Canada,International,Technology,8.7,6877.21,57941.66,Budget
2023-02-01,2023-02,USA,West,Sales,21.02,7236.79,147891.75,Budget
2023-02-01,2023-02,USA,Central,Sales,17.19,8955.06,151064.06,Budget
2023-02-01,2023-02,USA,East,Sales,15.97,6290.91,92480.32,Budget
2023-02-01,2023-02,USA,International,Sales,13.14,8222.41,108491.58,Budget
2023-02-01,2023-02,USA,West,Marketing,11.22,8038.59,90856.36,Budget
2023-02-01,2023-02,USA,Central,Marketing,9.95,6684.2,66018.6,Budget
2023-02-01,2023-02,USA,East,Marketing,9.24,8169.18,71804.27,Budget
2023-02-01,2023-02,USA,International,Marketing,8.05,6650.76,55856.51,Budget
2023-02-01,2023-02,USA,West,Operations,26.71,7240.39,182938.59,Budget
2023-02-01,2023-02,USA,Central,Operations,19.58,8082.69,155644.17,Budget
2023-02-01,2023-02,USA,East,Operations,20.31,4987.24,92479.36,Budget
2023-02-01,2023-02,USA,International,Operations,17.05,6552.76,108825.6,Budget
2023-02-01,2023-02,USA,West,G&A,8.45,6928.79,57883.3,Budget
2023-02-01,2023-02,USA,Central,G&A,6.0,7479.77,48618.53,Budget
2023-02-01,2023-02,USA,East,G&A,6.12,6602.47,41889.56,Budget
2023-02-01,2023-02,USA,International,G&A,6.21,6621.39,38006.92,Budget
2023-02-01,2023-02,USA,West,Technology,15.12,8920.05,137880.59,Budget
2023-02-01,2023-02,USA,Central,Technology,14.44,7268.82,92782.9,Budget
2023-02-01,2023-02,USA,East,Technology,12.66,7390.33,101371.76,Budget
2023-02-01,2023-02,USA,International,Technology,10.87,7045.69,73821.31,Budget
2023-02-01,2023-02,UK,West,Sales,12.44,6725.8,80633.85,Budget
2023-02-01,2023-02,UK,Central,Sales,10.77,7957.69,76565.84,Budget
2023-02-01,2023-02,UK,East,Sales,9.69,7997.52,81717.58,Budget
