month_start,period,entity,region,department,salary_opex,non_salary_opex,total_opex,scenario
2023-01-01,2023-01,Canada,West,Sales,64495.42,36958.53,101453.95,Actual
2023-01-01,2023-01,Canada,Central,Sales,58151.34,32726.04,90877.38,Actual
2023-01-01,2023-01,Canada,East,Sales,52751.33,28114.55,80865.88,Actual
2023-01-01,2023-01,Canada,International,Sales,41038.96,27376.8,68415.76,Actual
2023-01-01,2023-01,Canada,West,Marketing,43274.28,33188.6,76462.88,Actual
2023-01-01,2023-01,Canada,Central,Marketing,36146.03,23118.85,59264.88,Actual
2023-01-01,2023-01,Canada,East,Marketing,38316.97,22779.57,61096.54,Actual
2023-01-01,2023-01,Canada,International,Marketing,30460.12,18245.71,48705.83,Actual
2023-01-01,2023-01,Canada,West,Operations,81321.98,51237.15,132559.13,Actual
2023-01-01,2023-01,Canada,Central,Operations,81661.18,45884.32,127545.49,Actual
2023-01-01,2023-01,Canada,East,Operations,74860.37,45076.98,119937.35,Actual
2023-01-01,2023-01,Canada,International,Operations,62834.85,28308.58,91143.44,Actual
2023-01-01,2023-01,Canada,West,G&A,35107.3,24134.87,59242.18,Actual
2023-01-01,2023-01,Canada,Central,G&A,30113.81,21678.96,51792.77,Actual
2023-01-01,2023-01,Canada,East,G&A,31635.03,17372.58,49007.6,Actual
2023-01-01,2023-01,Canada,International,G&A,24176.08,13967.46,38143.53,Actual
2023-01-01,2023-01,Canada,West,Technology,75961.05,43329.96,119291.0,Actual
2023-01-01,2023-01,Canada,Central,Technology,69662.25,36930.98,106593.23,Actual
2023-01-01,2023-01,Canada,East,Technology,66745.79,41705.28,108451.07,Actual
2023-01-01,2023-01,Canada,International,Technology,50028.23,37586.07,87614.31,Actual
2023-01-01,2023-01,USA,West,Sales,88854.19,56279.95,145134.13,Actual
2023-01-01,2023-01,USA,Central,Sales,72472.49,48468.82,120941.31,Actual
2023-01-01,2023-01,USA,East,Sales,75593.93,43515.49,119109.42,Actual
2023-01-01,2023-01,USA,International,Sales,66296.19,37066.21,103362.4,Actual
2023-01-01,2023-01,USA,West,Marketing,66134.46,39245.62,105380.08,Actual
2023-01-01,2023-01,USA,Central,Marketing,55997.76,28886.55,84884.32,Actual
2023-01-01,2023-01,USA,East,Marketing,52643.64,29815.16,82458.8,Actual
2023-01-01,2023-01,USA,International,Marketing,41682.07,30398.06,72080.12,Actual
2023-01-01,2023-01,USA,West,Operations,114271.41,65111.78,179383.19,Actual
2023-01-01,2023-01,USA,Central,Operations,98636.44,55155.54,153791.98,Actual
2023-01-01,2023-01,USA,East,Operations,102258.92,55227.22,157486.14,Actual
2023-01-01,2023-01,USA,International,Operations,82478.52,54590.84,137069.36,Actual
2023-01-01,2023-01,USA,West,G&A,46923.95,30752.97,77676.91,Actual
2023-01-01,2023-01,USA,Central,G&A,39694.54,30668.72,70363.26,Actual
2023-01-01,2023-01,USA,East,G&A,41618.91,23992.03,65610.94,Actual
2023-01-01,2023-01,USA,International,G&A,32186.28,20332.86,52519.14,Actual
2023-01-01,2023-01,USA,West,Technology,104080.62,75033.33,179113.95,Actual
2023-01-01,2023-01,USA,Central,Technology,86428.25,57038.55,143466.8,Actual
2023-01-01,2023-01,USA,East,Technology,87386.3,53104.96,140491.27,Actual
2023-01-01,2023-01,USA,International,Technology,73255.99,44724.81,117980.79,Actual
2023-01-01,2023-01,UK,West,Sales,56925.55,35059.19,91984.74,Actual
2023-01-01,2023-01,UK,Central,Sales,48423.45,22014.15,70437.6,Actual
2023-01-01,2023-01,UK,East,Sales,45733.92,23958.66,69692.58,Actual
2023-01-01,2023-01,UK,International,Sales,39170.2,25999.27,65169.47,Actual
2023-01-01,2023-01,UK,West,Marketing,37568.87,23638.61,61207.48,Actual
2023-01-01,2023-01,UK,Central,Marketing,33228.45,23070.03,56298.48,Actual
2023-01-01,2023-01,UK,East,Marketing,32696.87,22703.01,55399.88,Actual
2023-01-01,2023-01,UK,International,Marketing,27970.93,17121.78,45092.7,Actual
2023-01-01,2023-01,UK,West,Operations,72974.02,47490.89,120464.91,Actual
2023-01-01,2023-01,UK,Central,Operations,57745.44,39024.63,96770.07,Actual
2023-01-01,2023-01,UK,East,Operations,59867.59,38958.91,98826.5,Actual
2023-01-01,2023-01,UK,International,Operations,50117.19,28431.27,78548.46,Actual
2023-01-01,2023-01,UK,West,G&A,30313.64,16963.62,47277.25,Actual
2023-01-01,2023-01,UK,Central,G&A,23813.47,17089.44,40902.91,Actual
2023-01-01,2023-01,UK,East,G&A,25757.27,15915.81,41673.08,Actual
2023-01-01,2023-01,UK,International,G&A,22453.29,12232.62,34685.91,Actual
2023-01-01,2023-01,UK,West,Technology,61895.2,40630.59,102525.79,Actual
2023-01-01,2023-01,UK,Central,Technology,56962.77,33135.86,90098.63,Actual
2023-01-01,2023-01,UK,East,Technology,54851.63,32101.99,86953.62,Actual
2023-01-01,2023-01,UK,International,Technology,42118.67,27420.8,69539.47,Actual
2023-02-01,2023-02,Canada,West,Sales,60705.51,40179.03,100884.55,Actual
2023-02-01,2023-02,Canada,Central,Sales,54131.57,37353.15,91484.72,Actual
2023-02-01,2023-02,Canada,East,Sales,57432.83,34358.62,91791.45,Actual
2023-02-01,2023-02,Canada,International,Sales,41301.64,30746.54,72048.18,Actual
2023-02-01,2023-02,Canada,West,Marketing,50146.33,28533.04,78679.37,Actual
2023-02-01,2023-02,Canada,Central,Marketing,43094.59,23680.72,66775.31,Actual
2023-02-01,2023-02,Canada,East,Marketing,34816.68,22103.91,56920.58,Actual
2023-02-01,2023-02,Canada,International,Marketing,35132.72,17455.11,52587.83,Actual
2023-02-01,2023-02,Canada,West,Operations,85814.63,52740.99,138555.62,Actual
2023-02-01,2023-02,Canada,Central,Operations,72709.21,44113.98,116823.19,Actual
2023-02-01,2023-02,Canada,East,Operations,71148.13,41495.89,112644.02,Actual
2023-02-01,2023-02,Canada,International,Operations,55453.82,37218.87,92672.69,Actual
2023-02-01,2023-02,Canada,West,G&A,37675.97,23440.12,61116.09,Actual
2023-02-01,2023-02,Canada,Central,G&A,29834.14,17149.43,46983.57,Actual
2023-02-01,2023-02,Canada,East,G&A,29118.63,20374.83,49493.46,Actual
2023-02-01,2023-02,Canada,International,G&A,25677.34,16104.19,41781.53,Actual
2023-02-01,2023-02,Canada,West,Technology,82165.33,49837.16,132002.5,Actual
2023-02-01,2023-02,Canada,Central,Technology,68817.11,44146.8,112963.91,Actual
2023-02-01,2023-02,Canada,East,Technology,63209.76,35322.18,98531.94,Actual
2023-02-01,2023-02,Canada,International,Technology,56701.93,36861.45,93563.38,Actual
2023-02-01,2023-02,USA,West,Sales,82031.26,56756.49,138787.75,Actual
2023-02-01,2023-02,USA,Central,Sales,81905.59,46300.19,128205.77,Actual
