month_start,period,entity,region,department,salary_opex,non_salary_opex,total_opex,scenario
2023-01-01,2023-01,Canada,West,Sales,69587.21,36885.38,107484.24,Budget
2023-01-01,2023-01,Canada,Central,Sales,60136.34,35378.65,98098.73,Budget
2023-01-01,2023-01,Canada,East,Sales,54217.08,29145.7,86266.34,Budget
2023-01-01,2023-01,Canada,International,Sales,43891.15,26441.21,72978.17,Budget
2023-01-01,2023-01,Canada,West,Marketing,47142.76,34770.64,81700.99,Budget
2023-01-01,2023-01,Canada,Central,Marketing,38978.53,24197.29,63083.13,Budget
2023-01-01,2023-01,Canada,East,Marketing,39864.23,23655.1,62327.86,Budget
2023-01-01,2023-01,Canada,International,Marketing,31836.63,20008.35,49335.36,Budget
2023-01-01,2023-01,Canada,West,Operations,86079.82,53779.98,143726.55,Budget
2023-01-01,2023-01,Canada,Central,Operations,89001.44,46447.4,130450.15,Budget
2023-01-01,2023-01,Canada,East,Operations,76687.89,46225.27,123301.18,Budget
2023-01-01,2023-01,Canada,International,Operations,66002.48,28717.88,92845.66,Budget
2023-01-01,2023-01,Canada,West,G&A,35678.93,25456.95,61498.53,Budget
2023-01-01,2023-01,Canada,Central,G&A,31100.37,21998.59,51372.13,Budget
2023-01-01,2023-01,Canada,East,G&A,34448.84,17917.0,54952.95,Budget
2023-01-01,2023-01,Canada,International,G&A,25703.62,15292.66,40806.12,Budget
2023-01-01,2023-01,Canada,West,Technology,79360.72,44286.26,120566.79,Budget
2023-01-01,2023-01,Canada,Central,Technology,74788.66,38701.86,112828.4,Budget
2023-01-01,2023-01,Canada,East,Technology,71046.8,43818.87,111253.91,Budget
2023-01-01,2023-01,Canada,International,Technology,53549.27,38866.04,91356.94,Budget
2023-01-01,2023-01,USA,West,Sales,94320.65,58431.59,143024.54,Budget
2023-01-01,2023-01,USA,Central,Sales,77633.81,52232.32,119135.24,Budget
2023-01-01,2023-01,USA,East,Sales,76251.69,47898.21,124702.92,Budget
2023-01-01,2023-01,USA,International,Sales,68955.1,38074.73,104300.82,Budget
2023-01-01,2023-01,USA,West,Marketing,68394.11,41962.7,109545.72,Budget
2023-01-01,2023-01,USA,Central,Marketing,59262.91,31572.17,86801.49,Budget
2023-01-01,2023-01,USA,East,Marketing,55227.72,31906.15,83449.37,Budget
2023-01-01,2023-01,USA,International,Marketing,43572.0,33321.43,74227.57,Budget
2023-01-01,2023-01,USA,West,Operations,122504.71,67440.56,196242.99,Budget
2023-01-01,2023-01,USA,Central,Operations,97712.8,57469.24,153120.58,Budget
2023-01-01,2023-01,USA,East,Operations,104199.15,56265.24,162524.33,Budget
2023-01-01,2023-01,USA,International,Operations,82837.41,56656.98,144445.61,Budget
2023-01-01,2023-01,USA,West,G&A,46644.42,31397.31,86705.28,Budget
2023-01-01,2023-01,USA,Central,G&A,41674.39,30223.03,70221.55,Budget
2023-01-01,2023-01,USA,East,G&A,43565.72,25024.17,67079.1,Budget
2023-01-01,2023-01,USA,International,G&A,35591.57,22743.56,54203.35,Budget
2023-01-01,2023-01,USA,West,Technology,110969.58,80112.71,191952.16,Budget
2023-01-01,2023-01,USA,Central,Technology,88225.74,62638.79,148910.23,Budget
2023-01-01,2023-01,USA,East,Technology,91988.04,55232.41,145522.18,Budget
2023-01-01,2023-01,USA,International,Technology,76798.07,44922.65,115723.28,Budget
2023-01-01,2023-01,UK,West,Sales,58838.17,35535.55,97174.99,Budget
2023-01-01,2023-01,UK,Central,Sales,50990.56,22903.62,76385.86,Budget
2023-01-01,2023-01,UK,East,Sales,47554.73,23868.95,72012.69,Budget
2023-01-01,2023-01,UK,International,Sales,42113.02,25569.56,67592.4,Budget
2023-01-01,2023-01,UK,West,Marketing,39720.21,26465.01,65874.41,Budget
2023-01-01,2023-01,UK,Central,Marketing,34689.79,24353.25,55345.3,Budget
2023-01-01,2023-01,UK,East,Marketing,32975.07,24054.49,57883.73,Budget
2023-01-01,2023-01,UK,International,Marketing,29332.06,17824.17,46889.52,Budget
2023-01-01,2023-01,UK,West,Operations,76118.32,47885.96,124456.18,Budget
2023-01-01,2023-01,UK,Central,Operations,57900.02,39860.23,104112.71,Budget
2023-01-01,2023-01,UK,East,Operations,61937.66,41213.66,103121.38,Budget
2023-01-01,2023-01,UK,International,Operations,51543.19,28708.27,80747.69,Budget
2023-01-01,2023-01,UK,West,G&A,31692.77,17937.41,49341.85,Budget
2023-01-01,2023-01,UK,Central,G&A,25230.0,16993.65,43602.5,Budget
2023-01-01,2023-01,UK,East,G&A,25915.74,17022.04,43968.11,Budget
2023-01-01,2023-01,UK,International,G&A,22091.66,12992.37,37108.82,Budget
2023-01-01,2023-01,UK,West,Technology,66706.71,41318.96,107178.65,Budget
2023-01-01,2023-01,UK,Central,Technology,60428.01,35193.26,94809.49,Budget
2023-01-01,2023-01,UK,East,Technology,56343.64,34337.52,93024.25,Budget
2023-01-01,2023-01,UK,International,Technology,43608.48,27873.06,70802.51,Budget
2023-02-01,2023-02,Canada,West,Sales,65619.29,42932.11,104859.28,Budget
2023-02-01,2023-02,Canada,Central,Sales,55973.39,36865.86,94912.47,Budget
2023-02-01,2023-02,Canada,East,Sales,57677.87,35896.85,98726.97,Budget
2023-02-01,2023-02,Canada,International,Sales,41738.88,32196.47,77086.75,Budget
2023-02-01,2023-02,Canada,West,Marketing,52483.59,29225.84,81851.06,Budget
2023-02-01,2023-02,Canada,Central,Marketing,46055.94,24814.49,69439.57,Budget
2023-02-01,2023-02,Canada,East,Marketing,37416.94,23329.52,57143.31,Budget
2023-02-01,2023-02,Canada,International,Marketing,37203.53,18650.55,52739.31,Budget
2023-02-01,2023-02,Canada,West,Operations,83406.48,53202.05,143671.79,Budget
2023-02-01,2023-02,Canada,Central,Operations,77820.21,44699.44,123441.65,Budget
2023-02-01,2023-02,Canada,East,Operations,67820.43,43380.19,115775.27,Budget
2023-02-01,2023-02,Canada,International,Operations,61163.23,36594.99,96339.28,Budget
2023-02-01,2023-02,Canada,West,G&A,37037.49,23991.17,60441.7,Budget
2023-02-01,2023-02,Canada,Central,G&A,33086.77,17652.48,48565.47,Budget
2023-02-01,2023-02,Canada,East,G&A,30246.04,20497.72,53040.02,Budget
2023-02-01,2023-02,Canada,International,G&A,27197.59,17191.84,41926.14,Budget
2023-02-01,2023-02,Canada,West,Technology,88250.45,53355.43,136362.31,Budget
2023-02-01,2023-02,Canada,Central,Technology,73417.58,46273.8,112080.53,Budget
2023-02-01,2023-02,Canada,East,Technology,65391.5,36224.83,102725.71,Budget
2023-02-01,2023-02,Canada,International,Technology,60707.0,36520.84,96060.84,Budget
2023-02-01,2023-02,USA,West,Sales,83290.02,57700.54,140912.14,Budget
2023-02-01,2023-02,USA,Central,Sales,85349.32,48878.89,134673.72,Budget
2023-02-01,2023-02,USA,East,Sales,71979.6,47031.73,125887.72,Budget
2023-02-01,2023-02,USA,International,Sales,61371.82,37706.64,100478.91,Budget
2023-02-01,2023-02,USA,West,Marketing,70096.52,35432.08,99072.27,Budget
2023-02-01,2023-02,USA,Central,Marketing,53116.8,35088.89,89547.56,Budget
2023-02-01,2023-02,USA,East,Marketing,52496.47,35192.09,87818.41,Budget
2023-02-01,2023-02,USA,International,Marketing,50859.94,28309.58,77991.34,Budget
2023-02-01,2023-02,USA,West,Operations,124927.31,69403.21,203031.4,Budget
2023-02-01,2023-02,USA,Central,Operations,102462.75,62468.46,170520.17,Budget
2023-02-01,2023-02,USA,East,Operations,99377.55,56350.02,163044.3,Budget
2023-02-01,2023-02,USA,International,Operations,87828.04,44880.99,134298.11,Budget
