month_start,period,entity,region,product,customer_segment,units,unit_price,revenue,cogs,gross_profit,scenario
2023-01-01,2023-01,Canada,West,Core,SMB,1315.03,119.5,157148.84,67284.99,89863.86,Actual
2023-01-01,2023-01,Canada,West,Core,Mid-Market,1091.44,119.16,130052.82,54238.51,75814.31,Actual
2023-01-01,2023-01,Canada,West,Core,Enterprise,767.07,122.76,94167.55,38993.33,55174.21,Actual
2023-01-01,2023-01,Canada,West,Plus,SMB,1319.67,216.94,286290.48,107270.38,179020.11,Actual
2023-01-01,2023-01,Canada,West,Plus,Mid-Market,991.73,207.37,205657.88,74105.92,131551.96,Actual
2023-01-01,2023-01,Canada,West,Plus,Enterprise,650.4,213.32,138739.26,53217.94,85521.32,Actual
2023-01-01,2023-01,Canada,West,Enterprise,SMB,1172.89,402.2,471744.07,167445.38,304298.69,Actual
2023-01-01,2023-01,Canada,West,Enterprise,Mid-Market,955.33,420.85,402050.34,130854.35,271196.0,Actual
2023-01-01,2023-01,Canada,West,Enterprise,Enterprise,651.37,421.4,274486.08,90102.76,184383.31,Actual
2023-01-01,2023-01,Canada,Central,Core,SMB,1132.86,117.84,133493.08,55576.46,77916.62,Actual
2023-01-01,2023-01,Canada,Central,Core,Mid-Market,805.28,126.67,102002.93,42823.88,59179.04,Actual
2023-01-01,2023-01,Canada,Central,Core,Enterprise,542.09,122.96,66656.0,26970.18,39685.83,Actual
2023-01-01,2023-01,Canada,Central,Plus,SMB,1118.18,207.07,231536.57,84478.13,147058.44,Actual
2023-01-01,2023-01,Canada,Central,Plus,Mid-Market,859.32,224.87,193239.42,73808.49,119430.93,Actual
2023-01-01,2023-01,Canada,Central,Plus,Enterprise,586.72,218.01,127912.65,46450.82,81461.83,Actual
2023-01-01,2023-01,Canada,Central,Enterprise,SMB,1036.47,414.2,429299.7,150590.89,278708.82,Actual
2023-01-01,2023-01,Canada,Central,Enterprise,Mid-Market,869.26,397.79,345777.64,118707.42,227070.22,Actual
2023-01-01,2023-01,Canada,Central,Enterprise,Enterprise,573.96,411.47,236166.27,81769.99,154396.27,Actual
2023-01-01,2023-01,Canada,East,Core,SMB,1130.99,123.35,139510.06,57119.03,82391.03,Actual
2023-01-01,2023-01,Canada,East,Core,Mid-Market,783.82,121.19,94993.01,41064.7,53928.3,Actual
2023-01-01,2023-01,Canada,East,Core,Enterprise,541.02,119.33,64561.24,26215.75,38345.49,Actual
2023-01-01,2023-01,Canada,East,Plus,SMB,944.83,225.36,212928.35,84204.89,128723.47,Actual
2023-01-01,2023-01,Canada,East,Plus,Mid-Market,799.07,226.62,181087.9,69559.97,111527.94,Actual
2023-01-01,2023-01,Canada,East,Plus,Enterprise,533.55,222.39,118654.73,47169.25,71485.49,Actual
2023-01-01,2023-01,Canada,East,Enterprise,SMB,1041.82,439.71,458101.39,143513.36,314588.03,Actual
2023-01-01,2023-01,Canada,East,Enterprise,Mid-Market,856.55,421.1,360688.37,121533.99,239154.38,Actual
2023-01-01,2023-01,Canada,East,Enterprise,Enterprise,566.72,394.96,223829.78,75600.6,148229.18,Actual
2023-01-01,2023-01,Canada,International,Core,SMB,904.98,125.32,113411.99,46892.43,66519.56,Actual
2023-01-01,2023-01,Canada,International,Core,Mid-Market,633.02,118.19,74819.54,32287.18,42532.36,Actual
2023-01-01,2023-01,Canada,International,Core,Enterprise,486.22,118.09,57419.1,24487.36,32931.74,Actual
2023-01-01,2023-01,Canada,International,Plus,SMB,886.67,226.39,200736.61,74673.34,126063.28,Actual
2023-01-01,2023-01,Canada,International,Plus,Mid-Market,659.06,217.41,143287.41,52058.6,91228.81,Actual
2023-01-01,2023-01,Canada,International,Plus,Enterprise,484.98,221.72,107531.91,40868.39,66663.52,Actual
