month_start,period,entity,region,product,customer_segment,units,unit_price,revenue,cogs,gross_profit,scenario
2023-01-01,2023-01,Canada,West,Core,SMB,1332.35,125.63,170933.47,74167.3,93503.24,Budget
2023-01-01,2023-01,Canada,West,Core,Mid-Market,1091.66,128.12,135478.77,58484.91,80244.3,Budget
2023-01-01,2023-01,Canada,West,Core,Enterprise,785.09,129.11,102572.02,40768.52,56220.08,Budget
2023-01-01,2023-01,Canada,West,Plus,SMB,1322.76,222.76,297082.46,115272.75,181951.48,Budget
2023-01-01,2023-01,Canada,West,Plus,Mid-Market,1087.54,209.42,230325.43,81647.35,138686.68,Budget
2023-01-01,2023-01,Canada,West,Plus,Enterprise,650.77,223.63,144066.12,53844.39,90544.01,Budget
2023-01-01,2023-01,Canada,West,Enterprise,SMB,1202.55,413.68,492448.75,172929.67,338485.03,Budget
2023-01-01,2023-01,Canada,West,Enterprise,Mid-Market,987.74,447.46,423908.08,138781.83,288246.81,Budget
2023-01-01,2023-01,Canada,West,Enterprise,Enterprise,701.16,445.84,290062.31,94765.97,192836.82,Budget
2023-01-01,2023-01,Canada,Central,Core,SMB,1158.51,123.52,141133.96,59025.81,82233.87,Budget
2023-01-01,2023-01,Canada,Central,Core,Mid-Market,839.92,132.79,105408.87,45367.48,61745.41,Budget
2023-01-01,2023-01,Canada,Central,Core,Enterprise,572.13,132.8,68570.31,28801.48,41709.66,Budget
2023-01-01,2023-01,Canada,Central,Plus,SMB,1241.89,216.08,247942.08,88740.95,148286.51,Budget
2023-01-01,2023-01,Canada,Central,Plus,Mid-Market,888.86,242.05,200392.98,72582.7,125289.96,Budget
2023-01-01,2023-01,Canada,Central,Plus,Enterprise,596.83,229.77,140260.62,49845.62,89290.29,Budget
2023-01-01,2023-01,Canada,Central,Enterprise,SMB,1070.83,433.13,437313.4,155030.11,284894.33,Budget
2023-01-01,2023-01,Canada,Central,Enterprise,Mid-Market,878.65,433.98,341365.93,129522.16,246912.02,Budget
2023-01-01,2023-01,Canada,Central,Enterprise,Enterprise,611.26,418.29,236764.89,84513.2,165011.57,Budget
2023-01-01,2023-01,Canada,East,Core,SMB,1187.64,125.66,151291.15,62861.29,85950.49,Budget
2023-01-01,2023-01,Canada,East,Core,Mid-Market,825.58,121.76,98561.75,43746.77,57198.82,Budget
2023-01-01,2023-01,Canada,East,Core,Enterprise,559.83,124.31,66923.13,27307.53,40749.64,Budget
2023-01-01,2023-01,Canada,East,Plus,SMB,936.3,236.13,225810.36,86974.01,133308.6,Budget
2023-01-01,2023-01,Canada,East,Plus,Mid-Market,828.23,234.69,190174.26,73307.17,110076.36,Budget
2023-01-01,2023-01,Canada,East,Plus,Enterprise,570.68,231.57,131468.12,47841.44,73199.75,Budget
2023-01-01,2023-01,Canada,East,Enterprise,SMB,1087.57,467.15,454196.98,147119.42,335898.1,Budget
2023-01-01,2023-01,Canada,East,Enterprise,Mid-Market,875.01,459.46,373811.47,124331.56,255490.38,Budget
2023-01-01,2023-01,Canada,East,Enterprise,Enterprise,622.39,419.64,243484.92,83183.27,151541.25,Budget
2023-01-01,2023-01,Canada,International,Core,SMB,975.71,125.86,120528.26,49136.72,72325.95,Budget
2023-01-01,2023-01,Canada,International,Core,Mid-Market,686.93,126.12,79230.36,34393.95,44737.8,Budget
2023-01-01,2023-01,Canada,International,Core,Enterprise,509.64,129.11,62982.25,25607.66,34813.1,Budget
2023-01-01,2023-01,Canada,International,Plus,SMB,933.18,226.76,208747.39,81990.66,129530.87,Budget
2023-01-01,2023-01,Canada,International,Plus,Mid-Market,733.82,235.93,152177.67,55537.43,93279.98,Budget
2023-01-01,2023-01,Canada,International,Plus,Enterprise,505.37,242.39,110926.06,44212.81,67242.75,Budget
2023-01-01,2023-01,Canada,International,Enterprise,SMB,875.46,445.22,364438.26,120503.74,251603.99,Budget
2023-01-01,2023-01,Canada,International,Enterprise,Mid-Market,715.75,441.71,278686.05,95069.79,189112.3,Budget
2023-01-01,2023-01,Canada,International,Enterprise,Enterprise,523.71,459.19,228997.71,78482.08,155513.68,Budget
2023-01-01,2023-01,USA,West,Core,SMB,1869.19,120.3,217742.49,84415.71,134511.19,Budget
2023-01-01,2023-01,USA,West,Core,Mid-Market,1412.46,126.6,164170.27,74765.95,91361.29,Budget
2023-01-01,2023-01,USA,West,Core,Enterprise,933.12,122.72,108350.77,50036.74,67751.3,Budget
2023-01-01,2023-01,USA,West,Plus,SMB,1642.02,247.55,356535.95,136568.56,228588.82,Budget
2023-01-01,2023-01,USA,West,Plus,Mid-Market,1478.64,213.59,317021.05,122840.42,185165.73,Budget
2023-01-01,2023-01,USA,West,Plus,Enterprise,848.93,218.67,188638.94,76142.63,115992.09,Budget
2023-01-01,2023-01,USA,West,Enterprise,SMB,1643.28,441.42,631888.16,226842.28,456254.11,Budget
2023-01-01,2023-01,USA,West,Enterprise,Mid-Market,1311.86,430.64,502698.34,184351.8,343065.56,Budget
2023-01-01,2023-01,USA,West,Enterprise,Enterprise,864.74,459.93,388756.16,128079.17,266533.99,Budget
2023-01-01,2023-01,USA,Central,Core,SMB,1815.69,120.24,206162.46,84527.07,126878.07,Budget
2023-01-01,2023-01,USA,Central,Core,Mid-Market,1317.57,120.69,151313.0,60221.93,85800.17,Budget
2023-01-01,2023-01,USA,Central,Core,Enterprise,902.38,114.13,108275.05,45885.93,61975.51,Budget
2023-01-01,2023-01,USA,Central,Plus,SMB,1583.06,227.86,346425.44,127476.11,225690.94,Budget
2023-01-01,2023-01,USA,Central,Plus,Mid-Market,1105.5,241.72,228362.2,90058.63,144731.19,Budget
2023-01-01,2023-01,USA,Central,Plus,Enterprise,794.33,237.18,188997.64,70623.22,124078.62,Budget
2023-01-01,2023-01,USA,Central,Enterprise,SMB,1591.94,439.4,683792.35,230620.4,452750.06,Budget
2023-01-01,2023-01,USA,Central,Enterprise,Mid-Market,1405.34,445.41,585699.51,193092.49,386110.65,Budget
2023-01-01,2023-01,USA,Central,Enterprise,Enterprise,869.19,444.96,380900.57,131074.9,225982.79,Budget
2023-01-01,2023-01,USA,East,Core,SMB,1552.64,118.72,190140.95,75284.3,105751.24,Budget
2023-01-01,2023-01,USA,East,Core,Mid-Market,1224.17,132.73,142601.84,63439.91,81775.64,Budget
2023-01-01,2023-01,USA,East,Core,Enterprise,802.71,121.28,91082.51,36878.62,52149.56,Budget
2023-01-01,2023-01,USA,East,Plus,SMB,1375.67,228.52,292910.33,118799.75,189793.36,Budget
2023-01-01,2023-01,USA,East,Plus,Mid-Market,1187.61,231.54,247659.94,101136.33,159647.4,Budget
2023-01-01,2023-01,USA,East,Plus,Enterprise,867.55,220.93,192761.46,83453.83,112782.17,Budget
2023-01-01,2023-01,USA,East,Enterprise,SMB,1506.72,437.66,639508.39,196733.17,435032.61,Budget
2023-01-01,2023-01,USA,East,Enterprise,Mid-Market,1255.17,405.49,476191.99,157473.9,321500.83,Budget
2023-01-01,2023-01,USA,East,Enterprise,Enterprise,851.08,441.36,360653.91,117663.53,243201.83,Budget
2023-01-01,2023-01,USA,International,Core,SMB,1132.36,122.88,130009.3,54512.81,73374.93,Budget
2023-01-01,2023-01,USA,International,Core,Mid-Market,977.52,121.0,117042.15,47139.17,63396.75,Budget
2023-01-01,2023-01,USA,International,Core,Enterprise,675.05,124.96,77626.04,33925.06,48519.85,Budget
2023-01-01,2023-01,USA,International,Plus,SMB,1263.46,222.61,265930.68,99235.64,159945.25,Budget
2023-01-01,2023-01,USA,International,Plus,Mid-Market,996.81,240.36,233862.37,89495.2,143785.61,Budget
2023-01-01,2023-01,USA,International,Plus,Enterprise,624.95,229.6,132231.86,47903.59,75885.04,Budget
2023-01-01,2023-01,USA,International,Enterprise,SMB,1317.66,430.65,549175.03,214671.61,357606.14,Budget
2023-01-01,2023-01,USA,International,Enterprise,Mid-Market,995.89,447.56,439678.13,147700.13,281912.45,Budget
2023-01-01,2023-01,USA,International,Enterprise,Enterprise,706.39,436.48,294687.75,99779.51,187745.36,Budget
2023-01-01,2023-01,UK,West,Core,SMB,1036.41,119.32,127411.59,53558.54,75638.24,Budget
2023-01-01,2023-01,UK,West,Core,Mid-Market,867.44,131.62,114548.19,45281.29,68113.93,Budget
2023-01-01,2023-01,UK,West,Core,Enterprise,673.15,119.81,72682.67,29970.73,40989.72,Budget
2023-01-01,2023-01,UK,West,Plus,SMB,1250.33,230.74,274433.32,104698.05,169119.21,Budget
2023-01-01,2023-01,UK,West,Plus,Mid-Market,763.94,238.95,184645.34,66872.84,116777.62,Budget
2023-01-01,2023-01,UK,West,Plus,Enterprise,632.23,225.06,135049.01,52893.8,83707.22,Budget
