month_start,period,entity,revenue,cogs,total_opex,ar_days,ap_days,inventory_days,accounts_receivable,accounts_payable,inventory,operating_cash_proxy,scenario
2023-01-01,2023-01,Canada,7412027.29,2683966.64,1678464.2,46,31,64,11365108.51,3120314.8,5725795.5,2864516.61,Actual
2023-01-01,2023-01,UK,6460102.72,2354783.0,1423549.53,55,28,49,11843521.65,2463526.71,3846145.57,2497983.47,Actual
2023-01-01,2023-01,USA,10211349.32,3751865.08,2308304.31,44,37,63,14976645.67,5196682.0,7878916.67,3915465.73,Actual
2023-02-01,2023-02,Canada,7783037.91,2842904.42,1708303.89,40,33,54,10377383.88,3503021.72,5117227.96,3070261.24,Actual
2023-02-01,2023-02,UK,6695709.9,2438997.04,1423648.71,49,33,57,10936326.17,2996099.46,4634094.38,2661907.5,Actual
2023-02-01,2023-02,USA,10151574.87,3672730.67,2293754.57,52,34,59,17596063.11,4682345.8,7223036.98,3910187.85,Actual
2023-03-01,2023-03,Canada,7973677.33,2868324.77,1729172.25,50,39,56,13289462.22,4178406.99,5354206.24,3175788.8,Actual
2023-03-01,2023-03,UK,6940358.99,2548074.46,1461495.16,43,24,61,9947847.89,2272298.79,5181084.74,2762845.96,Actual
2023-03-01,2023-03,USA,10692108.8,3915996.67,2255026.6,45,28,59,16038163.2,4075868.52,7701460.12,4259660.09,Actual
2023-04-01,2023-04,Canada,8296312.03,3021772.47,1727067.61,51,22,48,14103730.45,2469269.73,4834835.95,3321930.0,Actual
2023-04-01,2023-04,UK,7125340.2,2592739.51,1466498.27,40,24,59,9500453.6,2308831.33,5099054.37,2905891.49,Actual
2023-04-01,2023-04,USA,11102216.44,4087489.65,2337368.53,53,35,61,19613915.71,5314123.92,8311228.96,4369800.93,Actual
2023-05-01,2023-05,Canada,8541379.2,3085553.52,1701828.56,55,25,55,15659195.2,2854932.69,5656848.12,3502403.73,Actual
2023-05-01,2023-05,UK,7054610.68,2559216.78,1476182.25,54,27,67,12698299.22,2569007.91,5715584.14,2808702.57,Actual
2023-05-01,2023-05,USA,11649894.18,4263119.19,2354094.36,55,30,67,21358139.33,4733938.06,9520966.19,4683480.19,Actual
2023-06-01,2023-06,Canada,8908916.27,3241055.75,1720516.78,47,32,59,13957302.16,3824169.71,6374076.31,3725233.29,Actual
