period,entity,region,department,actual_ending_headcount,budget_ending_headcount,headcount_variance,actual_payroll_cost,budget_payroll_cost,payroll_variance
2023-01,Canada,Central,G&A,5,5.21,-0.21,39439.32,39929.93,-490.61
2023-01,Canada,Central,Marketing,7,7.31,-0.31,53363.47,52908.32,455.15
2023-01,Canada,Central,Operations,15,15.84,-0.84,101756.26,102831.08,-1074.82
2023-01,Canada,Central,Sales,12,11.4,0.6,73199.96,72331.88,868.08
2023-01,Canada,Central,Technology,10,10.38,-0.38,80949.69,81751.14,-801.45
2023-01,Canada,East,G&A,5,5.07,-0.07,33423.86,33041.11,382.75
2023-01,Canada,East,Marketing,7,7.01,-0.01,48618.4,50761.47,-2143.07
2023-01,Canada,East,Operations,15,15.31,-0.31,132549.27,126829.58,5719.69
2023-01,Canada,East,Sales,12,12.74,-0.74,84424.43,85122.62,-698.19
2023-01,Canada,East,Technology,10,9.68,0.32,94277.82,97948.25,-3670.43
2023-01,Canada,International,G&A,4,3.99,0.01,29310.76,29219.23,91.53
2023-01,Canada,International,Marketing,6,6.12,-0.12,46252.08,48292.24,-2040.16
2023-01,Canada,International,Operations,13,13.1,-0.1,103016.01,111949.23,-8933.22
2023-01,Canada,International,Sales,9,10.02,-1.02,69959.32,72471.89,-2512.57
2023-01,Canada,International,Technology,8,8.08,-0.08,55846.94,55388.86,458.08
2023-01,Canada,West,G&A,6,6.22,-0.22,43796.53,44534.24,-737.71
2023-01,Canada,West,Marketing,8,8.6,-0.6,55009.76,56203.6,-1193.84
2023-01,Canada,West,Operations,19,20.3,-1.3,137472.19,148453.98,-10981.79
2023-01,Canada,West,Sales,13,13.13,-0.13,103887.39,110305.52,-6418.13
2023-01,Canada,West,Technology,11,11.06,-0.06,71092.37,75435.45,-4343.08
2023-01,UK,Central,G&A,4,4.33,-0.33,31643.04,32124.55,-481.51
2023-01,UK,Central,Marketing,6,6.53,-0.53,47425.32,45863.24,1562.08
2023-01,UK,Central,Operations,14,14.18,-0.18,114346.52,115543.13,-1196.61
2023-01,UK,Central,Sales,11,10.81,0.19,73750.17,78748.04,-4997.87
2023-01,UK,Central,Technology,8,8.28,-0.28,61403.54,64929.74,-3526.2
2023-01,UK,East,G&A,4,4.37,-0.37,34812.34,33689.31,1123.03
2023-01,UK,East,Marketing,6,6.4,-0.4,40926.96,43251.66,-2324.7
2023-01,UK,East,Operations,12,12.87,-0.87,100237.71,93356.92,6880.79
2023-01,UK,East,Sales,9,9.26,-0.26,69534.36,70463.95,-929.59
2023-01,UK,East,Technology,8,8.57,-0.57,62689.65,63060.54,-370.89
2023-01,UK,International,G&A,3,2.97,0.03,19147.48,18701.02,446.46
2023-01,UK,International,Marketing,5,5.34,-0.34,33698.53,33701.67,-3.14
2023-01,UK,International,Operations,11,11.07,-0.07,81586.68,86147.37,-4560.69
